article_id,sentence_number,purepecha,spanish
2025480,1,“Ima kʼuiripu enga kurhajkuarhijka konsejuni xarhatasïndi jánhaskakua”(PROV,“La sabiduría acompaña a los que piden consejo”(PROV
2025480,2,AMBE ENGACHI JORHENGUARHIAKA,Qué debemos hacer para beneficiarnos al máximo de los consejos que recibimos
2025480,3,Exeni jauakachi ambechi jatsiski para úni parajtsïni marhuacheni ima konsejuecha engachi intsïnhauaka,Cómo podemos tomar buenas decisiones y lograr que nuestros planes salgan bien
2025480,4,Ambejtsïni jarhuataa ambakiti ambe erakuni úni ka eskajtsïni sési uéracheaka,(Proverbios
2025480,5,(Proverbios,TODOS queremos tomar buenas decisiones y que nuestros planes salgan bien
2025480,6,IÁMINDUECHACHI uékasïnga imani ambe úni enga sési jaka ka eskajtsïni sési uéracheaka,La Palabra de Dios nos enseña que para lograrlo tenemos que pedir consejo(leaProverbios
2025480,7,"Ísï jimbo, Tata Diosïiri Karakatajtsïni jorhendasïndi eska parakajtsïni sési nicheaka jatsiskachi para konseju kurhajkuarhini(arhinta jeProverbios",Qué nos ha prometido Jehová
2025480,8,Ambejtsïni aiachiskia Tata Diosï Jeoba,"Sin duda, nadie puede darnos mejores consejos que nuestro Padre, Jehová"
2025480,9,"Juchaari Taati, Tata Diosï Jeoba, imajkujtsïnisï uaati sánderu ambakiti konsejuechani íntsaani",Por eso hacemos bien en orarle para pedirle sabiduría
2025480,10,Jimbosï xáni sésiiti eskachi kurhakuaka jánhaskakua,Él nos ha prometido
2025480,11,Imajtsïni aiachisti,“Te aconsejaré con mis ojos puestos en ti” (Sal
2025480,12,“Arhistachiakakini t’ungini exeparini” (Sal,Esto significa que Jehová está muy pendiente de nosotros para darnos justo el consejo que necesitamos y para ayudarnos a aplicarlo
2025480,13,I ambe arhikuekasïndi eska Tata Diosï Jeoba kánikua pendienti jarhasïnga juchantsïni jimbo parajtsïni íntsaani konsejuecha engachi meru uétarhinchani jarhajka ka jarhuatasïndijtsïni ísï úni,Qué preguntas responderemos en este artículo
2025480,14,Náki kurhamarhikuechanchi mókuantani jaua,En este artículo usaremos la Palabra de Dios para responder a cuatro preguntas que quizás nos hagamos
2025480,15,"Ini artikulu jimbo, úranchi jauaka Tata Diosïiri Karakatani parachi mókuantani arini tʼámu kurhamarhikuechani",Qué cualidades necesito para beneficiarme de los buenos consejos que reciba
2025480,16,Náki kualidadiichani uétarhinchaasïni parakarini konseju marhuauaka,Quién puede darme buenos consejos
2025480,17,Néni uaa kurhakuni ambakiti konseju ma,Por qué es bueno que tenga una mente abierta
2025480,18,Néna uaa xarhatani eskani sési jimbo uétarhinchaxaka konseju ma,Por qué no debo pedirles a otros que decidan por mí
